action,sample,imgPath,vidPath,dataset,response,one_person,face_visible,gender,age,race
ALS_IceBucket_Challenge,0,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_000.jpg,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_000.jpg,default,1. yes 2. visible 3. male 4. adult 5. White,yes,visible,male,adult,white
ALS_IceBucket_Challenge,1,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_001.jpg,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_001.jpg,default,1. yes 2. visible 3. male 4. middle-aged 5. Southeast-asian,yes,visible,male,middle-aged,southeast-asian
ALS_IceBucket_Challenge,2,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_002.jpg,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_002.jpg,default,1. yes 2. visible 3. female 4. adult 5. Southeast-asian,yes,visible,female,adult,southeast-asian
ALS_IceBucket_Challenge,3,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_003.jpg,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_003.jpg,default,1. yes 2. not-visible 3. female 4. adult 5. Southeast-asian,yes,not-visible,female,adult,southeast-asian
ALS_IceBucket_Challenge,4,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_004.jpg,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_004.jpg,default,1. yes 2. not-visible 3. female 4. adult 5. Southeast-asian,yes,not-visible,female,adult,southeast-asian
ALS_IceBucket_Challenge,5,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_005.jpg,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_005.jpg,default,1. yes 2. visible 3. male 4. teenager 5. Southeast-asian,yes,visible,male,teenager,southeast-asian
ALS_IceBucket_Challenge,6,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_006.jpg,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_006.jpg,default,1. yes 2. visible 3. female 4. teenager 5. Southeast-asian,yes,visible,female,teenager,southeast-asian
ALS_IceBucket_Challenge,7,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_007.jpg,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_007.jpg,default,1. yes 2. visible 3. male 4. adult 5. White,yes,visible,male,adult,white
ALS_IceBucket_Challenge,8,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_008.jpg,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_008.jpg,default,1. yes 2. visible 3. female 4. adult 5. White,yes,visible,female,adult,white
ALS_IceBucket_Challenge,9,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_009.jpg,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_009.jpg,default,1. yes 2. visible 3. male 4. adult 5. Southeast-asian,yes,visible,male,adult,southeast-asian
ALS_IceBucket_Challenge,10,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_010.jpg,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_010.jpg,default,1. yes 2. not-visible 3. female 4. adult 5. White,yes,not-visible,female,adult,white
ALS_IceBucket_Challenge,11,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_011.jpg,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_011.jpg,default,1. yes 2. visible 3. male 4. teenager 5. Southeast-asian,yes,visible,male,teenager,southeast-asian
ALS_IceBucket_Challenge,12,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_012.jpg,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_012.jpg,default,1. yes 2. visible 3. male 4. teenager 5. Southeast-asian,yes,visible,male,teenager,southeast-asian
ALS_IceBucket_Challenge,13,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_013.jpg,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_013.jpg,default,1. yes 2. visible 3. male 4. adult 5. White,yes,visible,male,adult,white
ALS_IceBucket_Challenge,14,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_014.jpg,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_014.jpg,default,1. yes 2. visible 3. female 4. adult 5. White,yes,visible,female,adult,white
ALS_IceBucket_Challenge,15,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_015.jpg,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_015.jpg,default,1. yes 2. visible 3. male 4. teenager 5. Southeast-asian,yes,visible,male,teenager,southeast-asian
ALS_IceBucket_Challenge,16,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_016.jpg,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_016.jpg,default,1. yes 2. visible 3. male 4. adult 5. White,yes,visible,male,adult,white
ALS_IceBucket_Challenge,17,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_017.jpg,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_017.jpg,default,1. yes 2. visible 3. male 4. middle-aged 5. Southeast-asian,yes,visible,male,middle-aged,southeast-asian
ALS_IceBucket_Challenge,18,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_018.jpg,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_018.jpg,default,1. yes 2. not-visible 3. female 4. adult 5. White,yes,not-visible,female,adult,white
ALS_IceBucket_Challenge,19,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_019.jpg,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_019.jpg,default,1. yes 2. visible 3. female 4. adult 5. White,yes,visible,female,adult,white
CPR,0,video\CPR\CPR_000.jpg,video\CPR\CPR_000.jpg,default,1. yes 2. not-visible 3. female 4. adult 5. east-asian,yes,not-visible,female,adult,east-asian
CPR,1,video\CPR\CPR_001.jpg,video\CPR\CPR_001.jpg,default,1. yes 2. not-visible 3. female 4. adult 5. White,yes,not-visible,female,adult,white
CPR,2,video\CPR\CPR_002.jpg,video\CPR\CPR_002.jpg,default,1. yes 2. visible 3. male 4. adult 5. Southeast-asian,yes,visible,male,adult,southeast-asian
CPR,3,video\CPR\CPR_003.jpg,video\CPR\CPR_003.jpg,default,1. yes 2. visible 3. male 4. teenager 5. White,yes,visible,male,teenager,white
CPR,4,video\CPR\CPR_004.jpg,video\CPR\CPR_004.jpg,default,1. yes 2. visible 3. male 4. middle-aged 5. Southeast-asian,yes,visible,male,middle-aged,southeast-asian
CPR,5,video\CPR\CPR_005.jpg,video\CPR\CPR_005.jpg,default,1. yes 2. visible 3. male 4. adult 5. White,yes,visible,male,adult,white
CPR,6,video\CPR\CPR_006.jpg,video\CPR\CPR_006.jpg,default,1. yes 2. visible 3. female 4. adult 5. White,yes,visible,female,adult,white
CPR,7,video\CPR\CPR_007.jpg,video\CPR\CPR_007.jpg,default,1. yes 2. visible 3. female 4. middle-aged 5. White,yes,visible,female,middle-aged,white
CPR,8,video\CPR\CPR_008.jpg,video\CPR\CPR_008.jpg,default,1. yes 2. visible 3. female 4. adult 5. east-asian,yes,visible,female,adult,east-asian
CPR,9,video\CPR\CPR_009.jpg,video\CPR\CPR_009.jpg,default,1. yes 2. visible 3. male 4. adult 5. White,yes,visible,male,adult,white
CPR,10,video\CPR\CPR_010.jpg,video\CPR\CPR_010.jpg,default,1. yes 2. visible 3. female 4. adult 5. White,yes,visible,female,adult,white
CPR,11,video\CPR\CPR_011.jpg,video\CPR\CPR_011.jpg,default,1. yes 2. not-visible 3. female 4. adult 5. White,yes,not-visible,female,adult,white
CPR,12,video\CPR\CPR_012.jpg,video\CPR\CPR_012.jpg,default,1. yes 2. not-visible 3. female 4. adult 5. White,yes,not-visible,female,adult,white
CPR,13,video\CPR\CPR_013.jpg,video\CPR\CPR_013.jpg,default,1. yes 2. visible 3. female 4. adult 5. Southeast-asian,yes,visible,female,adult,southeast-asian
CPR,14,video\CPR\CPR_014.jpg,video\CPR\CPR_014.jpg,default,1. yes 2. visible 3. male 4. adult 5. east-asian,yes,visible,male,adult,east-asian
CPR,15,video\CPR\CPR_015.jpg,video\CPR\CPR_015.jpg,default,1. yes 2. visible 3. female 4. teenager 5. Southeast-asian,yes,visible,female,teenager,southeast-asian
CPR,16,video\CPR\CPR_016.jpg,video\CPR\CPR_016.jpg,default,1. yes 2. visible 3. male 4. middle-aged 5. Indian,yes,visible,male,middle-aged,indian
CPR,17,video\CPR\CPR_017.jpg,video\CPR\CPR_017.jpg,default,1. yes 2. visible 3. male 4. adult 5. White,yes,visible,male,adult,white
CPR,18,video\CPR\CPR_018.jpg,video\CPR\CPR_018.jpg,default,1. yes 2. not-visible 3. male 4. adult 5. Southeast-asian,yes,not-visible,male,adult,southeast-asian
CPR,19,video\CPR\CPR_019.jpg,video\CPR\CPR_019.jpg,default,1. yes 2. visible 3. female 4. adult 5. Southeast-asian,yes,visible,female,adult,southeast-asian
abseiling,0,video\abseiling\abseiling_000.jpg,video\abseiling\abseiling_000.jpg,default,1. yes 2. visible 3. male 4. middle-aged 5. Southeast-asian,yes,visible,male,middle-aged,southeast-asian
